CA	organ_age	Age_group
51.7	48.3	[51,54)
46.3	41.8	[45,48)
48.4	51.6	[48,51)
72.2	73.4	[72,75)
53.6	47.1	[51,54)
48.9	45.2	[48,51)
60.7	69.1	[60,63)
51.6	51.9	[51,54)
62.9	63.1	[60,63)
38.9	30.6	[36,39)
60.2	62	[60,63)
62.3	69.1	[60,63)
50.1	50.8	[48,51)
40.2	38.6	[39,42)
40.2	33.9	[39,42)
62.2	66.4	[60,63)
26.5	25.8	[24,27)
37	32.9	[36,39)
72.9	71	[72,75)
33.6	34.2	[33,36)
56.5	47.3	[54,57)
29.9	40	[27,30)
65.1	63.2	[63,66)
45.5	45.6	[45,48)
44.8	46.5	[42,45)
81.4	71.1	[81,84)
40.8	47.3	[39,42)
69.8	75.1	[69,72)
51.6	48.2	[51,54)
54.5	53.1	[54,57)
69.4	71.4	[69,72)
76.4	73.8	[75,78)
65.3	65.6	[63,66)
49.5	54.9	[48,51)
49.1	50.1	[48,51)
50.4	47.4	[48,51)
62.1	56.3	[60,63)
52.3	54.5	[51,54)
54.7	54.5	[54,57)
54.9	50.1	[54,57)
36.2	29.3	[36,39)
47.1	41.6	[45,48)
63.4	70.7	[63,66)
51.1	56.2	[51,54)
33	35.9	[33,36)
76.5	70.9	[75,78)
55.3	66	[54,57)
66.7	57.3	[66,69)
61.6	66	[60,63)
72.2	73.1	[72,75)
77.4	74.6	[75,78)
63.2	67.6	[63,66)
72	70.7	[72,75)
33.8	33.9	[33,36)
68.4	65.2	[66,69)
39.4	45.3	[39,42)
42.6	42.1	[42,45)
35	39.9	[33,36)
42	63.1	[42,45)
72.6	79.1	[72,75)
58.9	49.7	[57,60)
56.8	60.6	[54,57)
47.1	39.5	[45,48)
67.6	71.1	[66,69)
57.6	59.2	[57,60)
53.4	51.5	[51,54)
59.9	73.1	[57,60)
51.1	50.3	[51,54)
40.3	45.6	[39,42)
36.2	45	[36,39)
35.6	25.8	[33,36)
40.7	47.4	[39,42)
47.2	45.9	[45,48)
51.8	61	[51,54)
27.5	43.4	[27,30)
62	61.6	[60,63)
26.3	32.3	[24,27)
62.4	65.7	[60,63)
70.6	60.7	[69,72)
62.5	70.5	[60,63)
71.8	71.8	[69,72)
67	72.7	[66,69)
36.1	31.4	[36,39)
44.5	47.8	[42,45)
24.2	22.4	[24,27)
49.3	43.1	[48,51)
36.2	32.7	[36,39)
59.4	62.4	[57,60)
40.9	31.5	[39,42)
61.9	66.4	[60,63)
45.7	47.6	[45,48)
35.3	28.1	[33,36)
77.5	72.5	[75,78)
39.2	37.6	[39,42)
51.6	62.7	[51,54)
70.5	68.5	[69,72)
30.1	36.6	[30,33)
68.5	71.8	[66,69)
80.6	81.7	[78,81)
44.3	51.8	[42,45)
65.1	53.5	[63,66)
44.8	52.2	[42,45)
31	31	[30,33)
69.2	69.3	[69,72)
65.3	69	[63,66)
33.3	38.1	[33,36)
33.2	35	[33,36)
53.2	53.9	[51,54)
68.5	71.2	[66,69)
70.3	68.5	[69,72)
68.5	70.6	[66,69)
38	32.5	[36,39)
33.6	40.2	[33,36)
54.2	51.8	[54,57)
