CA	organ_age	Age_group
42.5	27.5	[42,45)
56.6	51.6	[54,57)
60.8	59.1	[60,63)
55.2	49.4	[54,57)
52.9	50.9	[51,54)
38.6	41.4	[36,39)
53.2	55.6	[51,54)
47.9	46.8	[45,48)
54.8	57.7	[54,57)
19.6	26.2	[18,21)
67.9	76.9	[66,69)
46.7	50	[45,48)
67.4	64.5	[66,69)
76.8	74.4	[75,78)
51.1	48.1	[51,54)
57.6	65.9	[57,60)
34.6	31.3	[33,36)
39.3	45.2	[39,42)
43.4	42.5	[42,45)
73.2	70.1	[72,75)
50.1	51.7	[48,51)
31.4	46.9	[30,33)
55.1	57.1	[54,57)
48.3	43.2	[48,51)
34.8	33.2	[33,36)
61.9	51.3	[60,63)
50.9	52.3	[48,51)
46.6	52.5	[45,48)
32.9	34.7	[30,33)
51.8	48.7	[51,54)
53.7	57.8	[51,54)
74.1	62.9	[72,75)
32.7	37	[30,33)
60	49.9	[60,63)
50.7	53.7	[48,51)
31.3	35.1	[30,33)
50.7	42.1	[48,51)
41.9	47.8	[39,42)
55.2	51.6	[54,57)
62.6	70.3	[60,63)
47.1	39.2	[45,48)
45.6	49	[45,48)
53	63.5	[51,54)
60.7	53.7	[60,63)
45.6	40	[45,48)
47.5	52.6	[45,48)
33.5	36.2	[33,36)
43	40.7	[42,45)
40.7	43.1	[39,42)
70	75	[69,72)
22.7	29.4	[21,24)
65.3	57.8	[63,66)
31.9	35	[30,33)
46.7	49.9	[45,48)
41.5	49.8	[39,42)
32.7	38.3	[30,33)
46.9	45.9	[45,48)
64.4	66.6	[63,66)
72.6	68.6	[72,75)
66.3	68.1	[66,69)
56.9	52	[54,57)
50.2	58.4	[48,51)
71.3	66.8	[69,72)
48.4	47.2	[48,51)
46.7	46	[45,48)
68.2	64.3	[66,69)
49.4	48.4	[48,51)
46.7	52.9	[45,48)
72.9	71.6	[72,75)
31.8	30.5	[30,33)
46.7	47.1	[45,48)
53.7	53.3	[51,54)
56.4	52.8	[54,57)
38.2	40.3	[36,39)
